OID_;X;Y;Shape_Length;Shape_Area;Construction_min;Construction_max;Demolition_min;Demolition_max;Address;Cause;Source;Comments;Is_demolished;Fire
151;270409,2399;7041996,637;77,3068325;345,8774525;1841;1851;;1893;Dronningens gate 24;;;;TRUE;0
304;270646,5427;7041967,051;58,8058143;181,0881389;1841;1851;;1924;Dronningens gate 4;;;;TRUE;0
280;270802,9041;7042234,093;78,13733113;391,3433536;1841;1851;;1902;Fjordgata 1;;;;TRUE;0
174;270819,575;7042284,05;55,53179625;160,1522773;1841;1851;1905;1905;Fjordgata 10;;antikvarisk;;TRUE;0
55;270689,4835;7042241,456;80,32959688;264,5112149;1841;1851;1982;1982;Fjordgata 11;;;wrong date in geonorge;TRUE;0
286;270674,7326;7042243,353;114,4288465;382,8445025;1841;1851;1982;1982;Fjordgata 13;;;wrong date in geonorge;TRUE;0
175;270783,1071;7042292,573;109,3466333;722,1617391;1841;1851;1996;1998;Fjordgata 14;;pictures;;TRUE;0
176;270765,8254;7042292,379;87,0497339;368,5828906;1841;1851;1996;1998;Fjordgata 16;;pictures;;TRUE;0
177;270749,3677;7042293,324;103,9080373;640,5665113;1841;1851;1996;1998;Fjordgata 18;;pictures;;TRUE;0
242;270598,8403;7042246,767;103,0728133;518,000403;1841;1851;1897;1900;Fjordgata 19;;;renovated in 1992;TRUE;0
94;270547,2877;7042239,081;61,00745876;228,3644804;1841;1851;;;Fjordgata 23;;;NOT DEMOLSHED, renovated in 1988;FALSE;0
254;270532,4129;7042241,035;48,80099599;154,3408802;1841;1851;;1931;Fjordgata 25;;;;TRUE;0
253;270523,2139;7042240,314;37,57899233;77,44926567;1841;1851;;1931;Fjordgata 25;;;;TRUE;0
51;270692,7365;7042294,805;93,16692886;400,8401906;1841;1851;;2007;Fjordgata 26;;;;TRUE;0
101;270515,6758;7042239,074;45,94068617;116,6790358;1841;1851;;1931;Fjordgata 27;;;merged w/ whole block;TRUE;0
281;270782,3809;7042243,19;38,44521857;96,49501744;1841;1851;1898;1898;Fjordgata 3;;;;TRUE;0
108;270423,4061;7042232,012;51,05406369;157,0269291;1841;1851;;1900;Fjordgata 35;;;;TRUE;0
224;270403,7231;7042226,065;64,81415863;187,5518056;1841;1851;;1899;Fjordgata 37;;;Jomfrugata 19 (in 1851);TRUE;0
20;270363,0918;7042219,395;32,85409857;58,09279317;1841;1851;;;Fjordgata 41;;;built a 'skur' in 1896;FALSE;0
31;270353,5507;7042209,776;71,47298996;280,3959834;1841;1851;;;Fjordgata 43;;;a part was demolished and rebuilt in 1988;FALSE;0
178;270531,098;7042287,152;74,5286951;185,6348255;1841;1851;;1900;Fjordgata 46;;;;TRUE;0
